"","start_date","average_audience"
"299",2013-07-26,35174.123
"300",2013-07-27,23703.711
"301",2013-07-28,24538.861
"302",2013-07-29,39968.193
"303",2013-07-30,48489.843
"304",2013-07-31,43853.511
"305",2013-08-01,38381.514
"306",2013-08-02,33963.6
"307",2013-08-03,21537.437
"308",2013-08-04,49939.841
"309",2013-08-05,38677.126
"310",2013-08-06,45958.074
"311",2013-08-07,44802.539
"312",2013-08-08,41178.212
"313",2013-08-09,38671.405
"314",2013-08-10,24109.185
"315",2013-08-11,25499.812
"316",2013-08-12,37612.802
"317",2013-08-13,47636.069
"318",2013-08-14,39628.281
"319",2013-08-15,38207.658
"320",2013-08-16,36984.235
"321",2013-08-17,23093.184
"322",2013-08-18,22672.284
"323",2013-08-19,39306.561
"324",2013-08-20,44086.53
"325",2013-08-21,41554.131
"326",2013-08-22,37888.505
"327",2013-08-23,34217.125
"328",2013-08-24,25168.77
"329",2013-08-25,37368.369
"330",2013-08-26,38906.605
"331",2013-08-27,45600.876
"332",2013-08-28,42089.083
"333",2013-08-29,42426.804
"334",2013-08-30,38116.938
"335",2013-08-31,31497.158
"336",2013-09-01,28061.047
"337",2013-09-02,37432.192
"338",2013-09-03,45968.042
"339",2013-09-04,44334.053
"340",2013-09-05,128961.939
"341",2013-09-06,63888.505
"342",2013-09-07,23760.021
"343",2013-09-08,106419.79
"344",2013-09-09,52195.943
"345",2013-09-10,50769.601
"346",2013-09-11,44995.976
"347",2013-09-12,41508.025
"348",2013-09-13,41583.85
"349",2013-09-14,27722.893
"350",2013-09-15,93076.164
"351",2013-09-16,59102.555
"352",2013-09-17,48946.698
"353",2013-09-18,51121.01
"354",2013-09-19,45160.563
"355",2013-09-20,41471.901
"356",2013-09-21,32967.491
"357",2013-09-22,87294.447
"358",2013-09-23,79701.872
"359",2013-09-24,68624.88
"360",2013-09-25,55559.998
"361",2013-09-26,46206.554
"362",2013-09-27,42190.351
"363",2013-09-28,34319.219
"364",2013-09-29,88085.695
"365",2013-09-30,74642.661
"366",2013-10-01,65770.009
"367",2013-10-02,49513.757
"368",2013-10-03,47407.241
"369",2013-10-04,41132.834
"370",2013-10-05,31651.561
"371",2013-10-06,88098.595
"372",2013-10-07,67977.258
"373",2013-10-08,56675.148
"374",2013-10-09,46196.308
"375",2013-10-10,42969.739
"376",2013-10-11,41921.598
"377",2013-10-12,26258.946
"378",2013-10-13,93111.566
"379",2013-10-14,71720.655
"380",2013-10-15,57830.216
"381",2013-10-16,45958.459
"382",2013-10-17,42961.916
"383",2013-10-18,41380.255
"384",2013-10-19,25391.923
"385",2013-10-20,116336.69
"386",2013-10-21,79808.027
"387",2013-10-22,59679.702
"388",2013-10-23,44384.637
"389",2013-10-24,44289.738
"390",2013-10-25,48840.47
"391",2013-10-26,24354.425
"392",2013-10-27,71807.547
"393",2013-10-28,5767.186
"394",2013-10-29,0
"395",2013-10-30,0
"396",2013-10-31,0
"397",2013-11-01,0
"398",2013-11-02,0
"399",2013-11-03,0
"400",2013-11-04,59366.478
"401",2013-11-05,62781.361
"402",2013-11-06,46497.313
"403",2013-11-07,52126.798
"404",2013-11-08,44278.775
"405",2013-11-09,29742.512
"406",2013-11-10,89303.498
"407",2013-11-11,73251.184
"408",2013-11-12,59920.65
"409",2013-11-13,48735.405
"410",2013-11-14,45553.534
"411",2013-11-15,43513.403
"412",2013-11-16,27009.921
"413",2013-11-17,117105.649
"414",2013-11-18,78098.382
"415",2013-11-19,58137.111
"416",2013-11-20,46953.558
"417",2013-11-21,42697.363
"418",2013-11-22,44063.336
"419",2013-11-23,30374.828
"420",2013-11-24,112464.756
"421",2013-11-25,84017.246
"422",2013-11-26,59418.767
"423",2013-11-27,51714.932
"424",2013-11-28,153525.723
"425",2013-11-29,49637.168
"426",2013-11-30,23043.025
"427",2013-12-01,71962.539
"428",2013-12-02,71640.009
"429",2013-12-03,57717.183
"430",2013-12-04,58726.015
"431",2013-12-05,74761.198
"432",2013-12-06,53570.513
"433",2013-12-07,27811.854
"434",2013-12-08,82423.215
"435",2013-12-09,68767.009
"436",2013-12-10,61344.558
"437",2013-12-11,54183.728
"438",2013-12-12,48442.452
"439",2013-12-13,44636.191
"440",2013-12-14,28141.02
"441",2013-12-15,67979.369
"442",2013-12-16,63976.719
"443",2013-12-17,69775.79
"444",2013-12-18,49206.134
"445",2013-12-19,49061.367
"446",2013-12-20,44995.858
"447",2013-12-21,34616.33
"448",2013-12-22,78314.288
"449",2013-12-23,45321.102
"450",2013-12-24,40607.993
"451",2013-12-25,29093.359
"452",2013-12-26,37986.436
"453",2013-12-27,38297.964
"454",2013-12-28,25024.529
"455",2013-12-29,96235.837
"456",2013-12-30,46186.491
"457",2013-12-31,51593.763
"458",2014-01-01,59143.255
"459",2014-01-02,46208.94
"460",2014-01-03,48801.578
"461",2014-01-04,186805.793
"462",2014-01-05,56356.945
"463",2014-01-06,51164.096
"464",2014-01-07,57229.812
"465",2014-01-08,56318.826
"466",2014-01-09,50754.425
"467",2014-01-10,45550.413
"468",2014-01-11,29482.504
"469",2014-01-12,73929.776
"470",2014-01-13,55422.097
"471",2014-01-14,51409.377
"472",2014-01-15,49931.508
"473",2014-01-16,46186.617
"474",2014-01-17,47066.09
"475",2014-01-18,31367.009
"476",2014-01-19,35752.548
"477",2014-01-20,49406.822
"478",2014-01-21,59356.412
"479",2014-01-22,58349.938
"480",2014-01-23,48627.604
"481",2014-01-24,49112.627
"482",2014-01-25,33246.311
"483",2014-01-26,67354.792
"484",2014-01-27,57179.26
"485",2014-01-28,59747.841
"486",2014-01-29,58877.118
"487",2014-01-30,52867.675
"488",2014-01-31,48186.584
"489",2014-02-01,33186.28
"490",2014-02-02,35373.118
"491",2014-02-03,53719.663
"492",2014-02-04,59325.999
"493",2014-02-05,63780.973
"494",2014-02-06,96906.167
"495",2014-02-07,135622.73
"496",2014-02-08,122847.134
"497",2014-02-09,154091.396
"498",2014-02-10,117511.19
"499",2014-02-11,117225.49
"500",2014-02-12,110323.242
"501",2014-02-13,116381.549
"502",2014-02-14,95597.648
"503",2014-02-15,87832.264
"504",2014-02-16,101061.711
"505",2014-02-17,105208.249
"506",2014-02-18,98978.905
"507",2014-02-19,93669.133
"508",2014-02-20,101091.212
"509",2014-02-21,81514.552
"510",2014-02-22,65652.583
"511",2014-02-23,73632.175
"512",2014-02-24,74342.192
"513",2014-02-25,65163.355
"514",2014-02-26,57791.542
"515",2014-02-27,49690.654
"516",2014-02-28,49304.135
"517",2014-03-01,35019.097
"518",2014-03-02,42354.708
"519",2014-03-03,77902.086
"520",2014-03-04,63230.112
"521",2014-03-05,50466.46
"522",2014-03-06,46277.766
"523",2014-03-07,46677.863
"524",2014-03-08,36524.378
"525",2014-03-09,40561.418
"526",2014-03-10,61414.986
"527",2014-03-11,55826.605
"528",2014-03-12,52466.559
"529",2014-03-13,46234.255
"530",2014-03-14,45290.245
"531",2014-03-15,29877.654
"532",2014-03-16,41121.558
"533",2014-03-17,68507.362
"534",2014-03-18,63503.303
"535",2014-03-19,48426.811
"536",2014-03-20,46775.798
"537",2014-03-21,43740.244
"538",2014-03-22,28101.358
"539",2014-03-23,30229.297
"540",2014-03-24,66782.798
"541",2014-03-25,56551.948
"542",2014-03-26,46839.717
"543",2014-03-27,46778.968
